,, 533 ," 9,644 "," 4,547 ",,,," 221,299.01 ",," 7,143,832.81 "," 559,776.83 "," 539,252.67 ",,,,,,,,,,,,," 499,983.03 "," 473,569.68 "," 973,552.71 "
BATCH NO.,BY,TOTAL CTN," Gross
Weight "," Volume
Weight ",Duty,Mat'l no, QTY ,AMOUNT, EX.RATE@ ,AMOUNT (THB), Actual Duty Fee , Actual Vat Fee , SERVICE& Handling Chgs , Transportation ," Paperless, Document, D/O , Bank Fee ", Customs fee , Customs Overtime , Freight+FUEL+Security charge ," EX-WORK/ 
FREE ZONE CHG "," CAF, CC Fee "," THC, CFS, STATUS, FACILITY ", Port/Storage /Terminal charges , Translate fee for through B/L for Form E document , Courier fee for Form E document , TOTAL Freight&Local chgs(Excluded VAT) , vat 7% , Grand Total 
IM190543,SEA,,,,5%,40203," 1,090.39 "," 6,433.30 ",32.0022,"205,879.75"," 10,293.99 "," 15,132.16 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21102, 307.24 ," 1,659.10 ",32.0022,"53,094.85"," 2,654.74 "," 3,902.47 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21104, 492.88 ,"2,661.55",32.0022,"85,175.46"," 4,258.77 "," 6,260.40 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21104, 320.96 ,"1,733.18",32.0022,"55,465.57"," 2,773.28 "," 4,076.72 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,21104, 510.24 ,"2,755.30",32.0022,"88,175.66"," 4,408.78 "," 6,480.91 ",,,,,,,,,,,,, -   ,, -   
IM190543,SEA,,,,5%,40202, 270.67 ,"1,299.22",32.0022,"41,577.90"," 2,078.89 "," 3,055.98 ",,,,,,,,,,,,, -   ,, -   
IM190545,AIR, 2 , 44.00 , 45.00 ,5%,40097, 130.90 ,"1,309.00",32.0022,"41,890.88"," 2,094.54 "," 3,078.98 "," 1,200.00 "," 1,200.00 ", 300.00 , 200.00 ,," 4,690.22 ",, 634.51 ,," 1,430.00 ",, - ," 9,654.73 "," 3,542.52 "," 13,197.25 "
IM190546,AIR, 1 , 15.25 , 16.50 ,30%,50042," 10,000.00 ","1,422.00",32.0022,"45,507.13"," 13,652.14 "," 4,141.15 "," 1,200.00 ",, 300.00 , 200.00 ,," 2,585.58 ",, 529.28 ,," 4,302.00 ",,," 9,116.86 "," 14,480.19 "," 23,597.05 "
IM190546,AIR,,,,30%,50042," 10,000.00 ","1,422.00",32.0022,"45,507.13"," 13,652.14 "," 4,141.15 ",,,,,,,,,,,,, -   ,, -   
IM190546,AIR,,,,30%,50042," 1,500.00 ",213.30,32.0022,"6,826.07"," 2,047.82 ", 621.17 ,,,,,,,,,,,,, -   ,, -   
